sentiment,text
positive,It came fast and I was very happy with my purchase . Looks good in my truck
positive,"Decal actually measures 5.875 by 2.5, which is a little smaller than advertised. Looks to be of good quality though."
positive,"I bought my Solara with some minor damage on the hood that included a cracked trim piece here. It was held together with tape.<br />I'm really happy to say, I was able to remove it pretty easily and this even came with the replacement bolts to re-assemble it all. I had saved the original hardware in case I needed to reuse it, but it wasn't even necessary. Really happy with this product and my Solara looks like new now!"
positive,The hitch cover is really nice for our Nissan Rogue. Easy to install.
positive,"Perfect fit, super easy install for a total newbie (and saved hundreds from the dealership!!) Watch the YouTube,  and get the 2 bolts you need to screw in to back off the old rotors. Brake cleaner, all that stuff - easy!"
positive,Great! Finally got some led bulbs that are as bright as the bulbs they replace
negative,"Good price but the slender ones came off in Auto Car Wash and are gone  = disappointing.  The larger model for Behind the handle is fine.  To me, wasn't worth the price of buying...."
positive,Cheap. Good. Actually I've only used the yellow on a regular basis as I can wear them day or night. It is odd that sometimes I can remove the yellow glasses and realize how dull looking a day it is.<br /><br />Good protection behind a windshield. Good visibility in the periphery. Odd nose piece. I'll be buying more of these than the expensive Wx glasses I've been using.
positive,A must have for hot climates! A good 10* cooler when using these shades. Careful at night could not see anything.
negative,"The pad itself does it's job well, but, taking it off the Griot's Garage DA orbiter cause the backing to peal away from the pad rendering it worthless to use again.  The only thing I can use it for now is to apply wax by hand, which I could do with a much less expensive pad."
positive,Simple book kind of big but it does the job. If you want something compact I wouldn’t get it...
positive,Great magnetic hold to car. They mold around contours of vehicle! Help people realize that can't pass your slow moving car and then  merge in BETWEEN the car and RV! I feel safer using them!!!!
positive,"The product works and cleans up brake tarnished tires and rim and look very clean after spraying, brushing and rinsing off.  The Big But here is - the design for the spray nozzle is exactly the same for both in the open position.  They only spray in a stream which doesn't allow the product to fan or spray likes Suds in the pictures above.  I went through at least a third of t a bottle on 4 20"" Rims and was shocked by the time I got to tire number 4 to see the bottle had maybe one and a half more cleanings for $14 a bottle.<br /><br />It came out more like a liquid spray then a suds which would have made the product last multiple cleanings....  Time for a real spray nozzle"
positive,Fits easily in trunk and sturdy enough to carry into store and home while fully packed.<br />Worth the money !
positive,"I laid all of these in on top of the existing carpet mats and it's cut so precise, there are no gaps, it's awesome. I'm definitely impressed with this product."
positive,Works great on my 2005 g35 Sedan. Big difference in suspension feel.
positive,Great deal for hitch and wiring. The hardest part was figuring out where the holes were on the body for the fasteners already on the wiring harness. Simple to install. fits perfect.
positive,Excellent for an older oil burner wouldn't recommend it for a newer automobile very thick
positive,Keeps my CD's off the floor and all organized! I recommend this to anyone looking for this type of storage for their CD's
negative,"Holes for installation are crooked and hot big enough. So need to be enlarged<br />Material has small cuts and imperfections<br />It is MUCH bigger than the armrest. Since I wanted it ight and not to move around, I put fabric inside. As a reference, I used thin blanket, with relative thickness of this cover's fabric. It took 4 layers to make this cover tight.<br />Color of course does not match.<br />Material does not feel like leather at all.<br /><br />For the price they charge I would have expected much higher grade of material and much better workmanship.<br /><br />i wish I could return it, but it is already installed...."
positive,"Why pay 3 times as much for the same thing at the local auto parts store?  It's an air filter not a pacemaker, for crying out loud."
negative,I would NOT use these for any important hold down applications.<br />Very weak strap and the buckle is very poor.
positive,They look really classy on my Cadillac and are metal. Have tabs that snap on to cover screws. They look nice but wish they were metal. They pop off when I wash the car so I remove them and snap back on after done drying with micro cloth.
positive,No complaints. Item worked fine with our vehicle. Folds down easily and love the pouch that came with it.
negative,Just Installed it day before yesterday and it went out this morning.
positive,This six pack is a good value. It works as well as any name brand. We've had no issues with it and it is convenient to have the six-pack on hand. good stuff.
positive,"Great product; does what it was designed to do, which was to allow addition of large cables."
negative,"The product is nice, it's made really well, I really liked it. Then I went to take a CD out and it was skipping like crazy. It was brand new so I knew there weren't any scratches on it. So I pulled all the cds out to look at them. This holder has left glue or some type of residue on all of the cds. So it has ruined well over $100 of cds."
positive,Worked great.  Came with everything needed and I believe has solved my problem. Way cheaper than the genuine Nissan part
positive,"Shipped and arrived on time, easy to put together and the setup was also easy."
positive,I have a harley electragilide ultra with no antennas. The xxl fits it nicely. I do not see a xl fitting this bike. It is heavy material and the zipper in the back is great for accessing. I would like to see some sort of color difference.  Finding the front is a pain when its cooking out of the saddle bag. Yes the zipper is there for the back but it's not easily seen. Let bike cool down a few minutes before you.cover it.
positive,"Auto heatshield folding works as expected! Easy to unfold and install, also easy to fold up and store.<br />Far better than the roll type sunshade."
positive,"My leather chair was a soft supple leather that accepted the balm exceptionally well. There were pee stains and grease stains from the back of a person's head on the chair and with minimal cleaning and using this product I was able to bring back the natural luster and uniform appearance of the leather. My mother-in-law had given me the chair because she could not handle the stains and I have given it back as a brand new chair. I will definitely recommend this product to my friends and family. In fact I already have , my mother help me in restoring the chair so she knows just how good it works. Thank you for a fantastic product."
positive,Easy to install. Fits perfect. Keeps rocks and debris out of my A/C coils and radiator.
positive,"Works flawlessly. Use it on my 997 Porsche, to keep battery in great shape when the car sits for more than a couple days. This model is IDENTICAL to the Porsche branded model, but costs much less. You will need to buy the cigarette lighter adapter separately, but you still come out way ahead."
positive,"Thing works well. You can't use the impact gun on the jack as you would expect but it works.<br /><br />When the jack comes down, it comes down uncontrollably quickly but it's ok."
positive,"I have a Razer keyboard that has a volume jog wheel that became so unreliable that I stopped using it. After spraying this in, it works as good as new again!<br /><br />In the off chance you're in the market for a mechanical keyboard, stay away from Razer. The firmware issues alone are reason to not even consider them. I have a Razer mouse, however (Balisk X Hyperspeed), and it's pretty great."
negative,"Nice for the money, but does not fit tight or can be fitted in a VW GTI. I use it on the driver side, it does not fit, it has to be pulled every time I enter the car. It might fit well with other cars. The size is OK but it can not be fitted tight.  I get harassed every time my husband sits in my car. I just smile because what do I expect for the money."
positive,I use mine to hold sewing pins. The magnetic pin holder I had before was chintzy at best so I upgraded. This is fantastic. I have knocked it on the floor several times and not lost a pin yet.
positive,"The goggles DO fit over my glasses.  They DO darken &#34;a little&#34;.  (the photo is a little mis-leading) It's not so dark that you really get &#34;shade/sunglasses&#34; level protection, but it's better than nothing and it allows me to look a bit less geeky with the protection my glasses need and a bit of shade in sun or clear at night."
positive,Love the antenna. It fits perfectly on my 2012 Mazda Mx-5 Miata. I still get all of the stations I did before too!
negative,just ok.  Difficult to assemble -had to use glue to keep it from springing open!!!  Only had for 2 months - already showing wear and tear.  You get what you pay for.....
positive,"I plan to carry this on road and mountain bike rides. As I get older the thought of being stuck with a flat 14 miles from the car sounds dreadful. I did a trial run with it this morning on presta valves and didn't even have to read the instructions. Very self explanatory. Power it on, press the cycle button until you get to PSI, hold down the + button to get to the desired pressure, and hit the power button. Just make sure you have a leak-free connection with the presta adaptor and tire valve. Screw it on until you no longer hear hissing. I go by feel so when the tire is firm enough I just power it off myself instead of waiting for it to shut off itself. Fits nicely in the rear pockets of the TSLA short-sleeve jersey I also ordered. I also carry two bottles of sealant with me. One thing...it's pretty loud!"
negative,I ordered the brown color. It is nothing like the color they show. It is a dark brown and does not match at all. They also have a nasty smell to them.
negative,It says xxl but I have long hair and even with my hair down I can't get it past my forehead unfortunately. It's a great looking helmet but if you have dreads it will not work
positive,Looks good changes things up. Gives you that custom feel along with the other 5 million who purchased this for their rides in the past.
positive,Buying another one!!! This is awesome! You can stretch and tighten buckles to fit anywhere in the back of my van. Would work well for any van or suv.
positive,These works really well and led is where it’s at! They are easy to install. These are 20 times brighter than my old stock bulbs!! Now I need to change my fog light bulbs. Great price on these. I’ve had zero issues.
negative,"These were hard to install and too small for passenger side view mirror - can’t see the attached mirror, let alone see any vehicles in my blind spot. Waste of money. :("
positive,"It's been 9 months and 4,000 miles since I installed it and no issues.(I don't drive that much) sure hope it lasts for years."
positive,"I purchased these for my 2014 4runner SR5. I went with these because of the price point and I liked the look compared to the basic nerf bar style or like what N-fab sells. I don't drive over boulders so sliders were overkill and didn't do much to help my wife or daughter get into the vehicle. Shipping was quick. Product was very well packaged. Fit was spot on. Quality appears to be excellent but time will tell. These mount where the factory running boards would mount, not to the frame. The gap between the body and step is small, which I appreciate. If you're looking for an alternative to factory or n-fab, these are it."
positive,This works great. It has charged and re-charged many batteries for us. Easy to use.
negative,"Seller very easy to work with and provided full refund.  This is whey I am rating a ""3"" and not a ""1."" The issue was the spring was too weak to hold the bar in place.  When I extended the pull-out cargo cover and got it to where the tabs would be inserted into the slots, the unit popped out most of the time.  When it didn't pop out is when I discovered the tabs were too wide to fit into the slots at the back of the Telluride.  The seller apologized and provided a complete refund."
negative,Rather cheap.  Add to add tape to fit our receiver but it's still in the receiver.  Works for what we need it to do.
positive,"I bought these for my new car so that the kids wouldn't get their feet all over my back seats (both were in booster seats so their kicking range was greatly extended). Not only have they protected my seats, but the kids love the many pockets that they can keep their stuff in. These fit well in my Mazda CX30. Only issue I have with them (reason for the 4 stars) is that I wish the bottom strap could be a bit more snug and allow for the middle part of the organizer to fit more securely against the seat."
positive,Exact fit in my 87 turbo coupe. Came with the gasket.
positive,Although I had to drive my car to blow up my pool - it served its purpose and I was happy with it. I'm happy I made the purchase.
positive,Made our Mustang and Camry look ever better. Good company with accurate description of their product.
positive,"2003 Matrix easy. NO-TOOL INSTALLATION. Snap-fit hook arm design, this little happy homemaker 50 year old did it in under 5 minutes the first one took 4 minutes the 2nd, once I knew what I was doing, took a minute - lol!. These come with a REPLACEMENT INDICATOR. Alerts you to change your wipers as they are nearing the end of their life - takes the guess work out."
negative,"I love this sticker, the color and size is as described and it looks great on my jeep. The only reason I can't give five stars is ihat it started to peel off after only one week, even thoughgthe window was cleaned etc before application."
positive,They look awesome. But the Holdsworth cut out exactly right to match up with my post holes. Which is okay by me cuz I don't use them anyways
positive,"I have a ford Fusion and this wheel cover looks great in it.  It took a while to get it on, but once I got it, it was very snug.  I have the matching seat covers and they are both great"
negative,I bought this because I have the non-perforated Sonic 2.0 and love that jacket.  This one fit totally different.  Sleeves were longer and narrower that the non-perf one I have.  It was really tight around the forearm.  Sent it back.
positive,Amazing piece for less than $5. Replaces the easy-to-break plastic garbage that comes standard on most trailers.
negative,"They Rust all to Hell!<br />  These are made by Changzhou Wujin Hutang Hongsheng Machine Fittings Factory in China (aka: Hong Sheng Machine Fittings). Thats why they are rusted junk in only a few months. Shame on Gorilla Automotive for this. One thing to slap your name on a piece of junk but to not take care of customers is another issue all together. They ignore your complaints!<br /> Please understand this folks, these not only rust outside and look bad they are rusting inside & onto your cars studs ruining its threads...Remove them asap!<br /> AVOID THESE RUSTY HONG SHENG/ GORILLA WHEEL LOCKS & NUTS.<br /><br />Google this part number it should take you to see them 46440 with k670 .......Sold on Alibaba!"
positive,"I got this for my JKU. I bought it used so the price I felt was more reasonable. My time is limited these days and I did not want to make my own roll.<br />This works great with the 2013 JKU windows. They fit perfectly.<br />It rolls up neatly. And all the windows are well protected.<br />Overall, worth the convenience."
positive,Definitely a task to put in make sure you have the correct tools makes it way easier and a few friends.Took bout 4hrs and some patients but we managed. I definitely like the look of it and for the price it's not a bad deal at all looks like a different jeep.
positive,Had to have a pro locksmith install it for $90. Took 2 minutes. Works great— just like the original. Saved about $150 by not buying it and having it installed at the Toyota dealership. Plus AAA reimbursed the locksmith fee.
negative,Bought for a 2016 tundra. Tried for an hour to work it onto wheel with no luck. Put on other car instead but very displeased!
positive,"Wish they were 2 or 3 inches wider,  towards the center of the bike. I would buy again"
negative,"It is very functional for what its use is, but... it can take several minutes to open it. The included key doesn't work very well.  Husband usually can't get it to work. I would buy a different brand.<br /><br />Update. After the vendor read my review they contacted me and sent a new one. Works well and easily.  As it was intended.  The original one must have been defective.  They did NOT ask me to change my review....  now very easy to use!"
positive,"Locking gas cap for capless Ford 2017 Explorer<br /><br />1. Price ($15 6/17/22; or three gallons of $5.15 gas) is right: two-thirds the Ford OEM locking cap.<br />2. Key is double cut-- teeth are on both edges -- meaning you can't insert the key wrong.<br />3. Turning the key to unlock holds the key in the cap, giving you a convenient handle to withdraw the cap.<br />4. Insert cap, turn kay, cap is locked.<br /><br />A local launched his boat in the lake and parked the truck/trailer rig in the parking lot all day.<br /><br />Came back to find the truck drained of gas. Time for a locking gas cap."
negative,Only used it twice but on the third try it ripped at the seams while casually putting it on. Like wearing Toilet Paper.<br /><br />If I had worn Waxed Paper it would have lasted longer.
negative,"I bought this to go into my 2012 GMC Acadia SLT1. I was told it was a good fit, however, when I mechanic came to install it, I was informed there was absolutely no way this alternator would fit in my SUV. I had to send it back and had to pay my mechanic $60 for coming out.<br /><br />The good thing about it was Amazon issued a refund on the spot 🙂 instead of making me wait until the part was returned. That's the only reason I gave a 3 star🤨. Otherwise, this review would've been a negative 10 🥴😬 (if they'd allow such a score 😉)."
positive,"It fits right under the back seats so that when the seats are down, they act as a lid to the storage. Like other reviewers, I drilled a couple of holes in the back to bolt it securely to the small storage compartment already under the seat. This works better than the included straps. It won't go anywhere.<br /><br />I also have a sturdy mat that this is sitting on and it still works. The capacity is nice. I can put tow hitches, straps, bungee cords, tow ropes, air compressor, small tool kit, tire repair kit, jumper cables, additional jack if I need one, and still seem to have plenty of room for more stuff...who knows, perhaps there is a secret decoder ring back there too! Now we're talkin'!<br /><br />Anyway, I am pleased."
negative,I made sure my truck met all criteria for this light assembly...... but when it arrived I noticed the harness did not fit the 2018 Silverado Custom.
positive,"Excellent quality, best pair i’ve owned yet. Leather is soft yet tough. knuckles feel like they were molded from my hands. Super grippy"
positive,"I only went 4 stars because of the scent it leaves. Its Not overwhelming its just not my favorite scent. That being said its a great cleaner and as the other reviews stated it doesn't leave that greasy kinda film on. The one that collects every bit of dust around. Gives it a nice clean look and its not all shiny and helps keep down the interior reflections. I only had time to do half or less of my car but i was impressed. This should go a long way as well, I didnt use hardly any. Only true suggestion, offer other scents. Just not pina colada either. Please not that."
positive,On Keystone 29BHS. Simple install will last life of RV.  Get it. Makes it a 10 minute job.
positive,Bought to use with my Porter Cable Orbital 6&#34; machine. Works great to apply both Wax and newer (to me) polymer sealant products.
positive,"I use this thing everywhere, shower, counter tops, car, ect. Works great for cutting down on the water spots left behind in the shower and makes cleaning my granite counter tops a breeze."
positive,"Not sure about the negative reviews, mine have been in for 6 months and great so far.  Nice yellow light, good brightness and the yellow light is really good for cutting through fog/mist as that is the optimal color to do it.  I have to assume that half the reviews where a bulb is burnt out the person installing them touched the bulb with their finger or didn't clean the bulbs off with rubbing alcohol and a lint free cloth prior to install which can cause them to burn out really fast."
positive,"The price is right for these and I recommend them. They do have a smell that is made to be somewhat flowery, but it's there. It disappears after a month. If you don't want to mortgage your house for auto floor mats, these are for you!"
positive,"It's really easy to use. I have a couple of gallon sized jugs left over from other things, so I just dump the measured portion into them and fill with tap water, so I always have 2 gallons of wiper fluid ready to refill my car.  Or, if you don't have extra jugs, you can just measure and pour the same amount into your car container after you run out, and then fill it up with water from the tap or from a hose.<br /><br />It's far easier than having to buy them at a store, transport to my house and unload from the car. And buying at a store costs about 4 to 6 times more than this approach. You also prevent a ton of environmental waste. About 90% of the plastic that's put in a recycling bin these days ends up in a landfill because there aren't enough uses for them. So the gallon jugs of wiper fluid you regularly buy are going into a landfill, where they'll never decompose.<br /><br />This avoids that, plus saves you a ton of money and also saves you time and effort versus the store method."
positive,"Big upgrade for my 2010 RX350 DRL and high beam combo. Was not sure if needed extra resistor because of same bulb two functions, but after contacting the top notch customer service team, promptly they answered my issue and recommended a resistor for this application. Worked great ! I have purchased several Sealight products and from recommendation my friends have too and are all very satisfied.<br />Thanks again!"
negative,"I was excited to get these for my new car, until I opened the box, and the smell of musky mildew hit me in the face!  I've tried to let them air out, but the odor is so strong that it's stinking up my apartment, so I'm certainly not going to put them in my car!  Terribly disappointed!"
negative,"Works great, bright light looks fantastic next to xenons of my e39.  The wiring is abit flimsy (not as robust as other under-hood wires) and it does &#34;throw&#34; a &#34;check side light&#34; code.<br /><br />Follow up March 2016:  Downgrading to 3 stars after both stopped working after 10 months.  I'm not sure if its these units or another problem, but I'm not optimistic. If they're truly dead (strange that both would go simultaneously) then I'll downgrade the review further."
negative,"I wore this on a 10 hour motorcycle ride from Austin to New Orleans, where it was raining for about 8 of those hours. Probably one of the more miserable rides of my life that was not made any better by a failing rain suit. Most of the waterproofing material had rubbed off leaving the jacket looking like Swiss cheese. I had read reviews from multiple places saying this was a good one, but it did not stand up to the ride and I returned it as soon as I got back. Still on the hunt for a solid rain suit that will actually keep me dry"
positive,Does what it is supposed to do. Hauls my crap around.
negative,"but it is totally different, so I can give it away to somebody who can use it.<br />So I can't tell how good this product is, i just can't use it....<br />If youa re driving a Ford Fivehundred than move on, it will not work."
positive,Love having this extra safety feature. Wiring is not difficult -- accessing wires by dismantling area around headlight is the only tricky part. Works perfectly every time.
positive,2 minute to install with just a Philips screwdriver! And fit perfectly on my 2011 Audi q5 3.2T!
negative,This is not an Atwood product.  it is a Dometic product and not the quality of Atwood.  On/off switch is extermely difficult to use and clearly will break after a few uses.  Very poor quality and should not be sold as Atwood.  Shame on Amazon!
positive,"Such a cool product, ordered it for my 12 yo daughter to ride and listen to music!"
positive,"I installed this on my 2018 Nissan Frontier SV. I wanted to allow the engine to breathe a little better and hopefully gain a little power for towing and maybe a little better fuel mileage. So far I can honestly say my truck does feel like it has a little more grunt when the RPMS are up around 3500 to 4500. My truck doesn't down shift as much when I'm towing my camper or boat in hilly areas. I have noticed that on the highway using cruise control, I'm getting roughly 1 mpg better fuel mileage. I have not noticed any mpg gain around town but that doesn't surprise me. I will say that this intake does sound bad a** around 4000 RPM's when I floor the throttle. I know that if I add a better exhaust that I would see better overall results from this intake."
positive,This is just big enough to fit my large truck key as well as a small cab over window lock.  It has a very strong magnet that will hold well on my steel undercarriage.
negative,"Fell apart after a test plug.  Worst thing I ever bought on amazon.  I'm mechanically able, and after looking at the components, I could see that this thing was never going to work properly."
positive,"Bright lights easy install. After a year I notice few started to flicker, I installed on three vehicles and they started to flicker. Will wait for better product."
positive,"Zero leaking after 6 months, makes changing oil so much easier. No more looking for the right wrench, etc."
positive,Always gfood to use a fresh crush washer to avoid leaks.  These are perfect.  I believe they are made out of aluminum and do their job well.
positive,"This net stretches perfectly to hold 3 full size suit cases, keeping them from sliding around the bed while driving and also keeping them at the tailgate area for easy unloading.<br />You will need a pair of carabiners to use as the net has loops, and truck beds have loops / bull rings."
positive,"Got this for my 2007 ninja 250. When you look out while riding you can see a little orange at the bottom of a bright white light. Looking at the light at the right angle and it looks a little orange or gold, but really only on low. On high it casts a bright beam that illuminates well."
negative,It doesn’t really fit if you are looking for perfect. There is no adhesive at all. I will probably get some double sided Velcro to place in 10 points to keep it in place… 3 inch strips should be good enough. The wrinkles will iron out in most places. I also had a steamer I used… probably prepped it for about 15-2.0 minutes. After placing on my dash I will be sure to Velcro certain places that tend to pull away from where it needs to lay mold to the curves of the dash board. It likes to pull it self in it’s own direction. With some adhesive Velcro strips I should be able to help it shape itself the way it  is designed too… the cut outs for the defrost and for the passenger side ducts could have been prepped better. They are just cut out… with some lining covering the edges such as they did with the outside would have gave it a more professional “look”. Some of the stitching is below standard. Not to bad for the price but not as advertised. The material should last a really long time and it’s not as rough as I expected. I would have gave this a better rating if it was actually adhesive in places necessary. I do not believe in normal driving it will stay in the place it needs too bc again it likes to pull itself out of place after just a few minutes. I waved my hand around it to see how flat I could make it. A few more dollars with some adhesive and Velcro strips will get you by. I won’t return it bc the options are slim outside of this same design. Could have been made with a little more concern and care to the customer.
positive,Everything works as intended great product and you get everything that was in the description. It works as advertised and very cheap too.
positive,"I like the grip on Fram filters, makes it so much easier to remove when it is time.  I have used Fram filters for years with no problems."
positive,"I wish I had a before and after picture.  This gem of a storage container helped to keep my trunk clean.  It holds A LOT for the price.  Plus the nifty velcro pads on the bottom are great to help keep it from rolling around.  It is REALLY secure back there.  Great price, quick ship, holds a lot."
positive,"Bought a cat back exhaust system that came with u-bolt design exhaust clamps.  The u-bolt clamps do not hold a seal and pipes could still move (rattling against heat shield, etc).  Replaced with these clamps and the connections are rock solid, no more twisting, solid seal.  Very well made, happy with the product!  The exhaust vendor should include these with their kit..."
positive,"I have been using this stuff on all my cars for 10+ years and this stuff ROCKS! I bought one of my cars, a daily beater, 10 years ago and have applied probably 10 layers of this polish during the first couple of years and then stopped washing my car. After all, it is my daily beater and it rains as soon as I wash my car. What is the point? Anyways, rain does the job and keeps my WHITE car WHITE. I recently washed the car because I am trading it in for a new car and the paint still had a beautiful shine to it and it looked brand new. This stuff lasts a long time! I have tried other polymer based products but I find this product the best. My other car which is also 10 years old looks gorgeous with a wet look. Highly recommended."
positive,"Replaced an unused gauge, took the gauge out and secured it behind the panel, had to modify the supplied bracket that holds the gauge but a cut off wheel made short work, finding wiring to power was the only frustrating part as it needs constant power, ground, keyed power and it has a dimmer mode if you choose, I did not install it as even at night with the numbers blue it was not overwhelming. I’m asking another driver if he wants one in a Peterbilt and will let you know if it gets installed in one of those. Looks good and provided cable was plenty long enough to install, no length modifications to the wiring supplied was needed."
positive,Seal is of great quality better than the National's I pulled off. This is the seal on the back of the inner wheel bearing hub. This is NOT the seal behind the CV joint axle. Fit my 2001 Xterra perfectly. These are what you replace when repacking the wheel bearings on most Nissans.
positive,Just as described. Looks great and work great keeping the wind of of your eyes!
positive,Love it. Still have more open pockets for additional items.. wish it was a tad thicker though. Love the velcro on the back idea I think that is down right ingenious. Fits perfectly in a midsize SUV.
positive,"This stuff helped out so much on my WRX 5 speed! I had done a stage 2 clutch on it. Used the Royal Purple at first. It did well for a while then i was getting some grinding shifting into 5th gear. I was at speed to shift. So people don't think i was shifting to soon. Replaced it with Redline oil. It did not like that either. Which I love Redline oil! Went with the Subaru transmission oil and it was worse,  way worse. Finally gave this a try. I did 3 quarts of this and the rest gear oil. Baammm! No more grinding. Shift are way better. Granted, I am putting 390whp and 479ftlb to the wheels. I know its only a matter of time. But at least for now, it helped"
positive,Replacement for '97 TJ older and not as bright as they were when they were original.  Very easy to install.
positive,When buying something like this you are buying the name.  One really does not know what you are buying.
negative,Would not work with my truck windows that apparently have some sort of safety sensor where it will stop the window if it senses an obstruction. I never could adjust the fit to allow me to use my window without disabling that safety feature.
positive,"This is a beautiful sticker. In fact, this is the second time I've purchased it and I bought enough to give to friends that admired mine.<br /><br />Excellent quality, you will be happy with it."
positive,"The only cover that fit my Chev S10 wheel, even though the dealer ""says"" it is a "" standard "" 16 inch. You know they're nutters when even strong men who wanted to sell a cover couldn't fit it on (or sell it).<br />I had to return an 18 inch cover that was too large and was not stretchy enough to fit.<br />This one is loosely fitting, stretches to avoid extra material flapping, and grips.<br />But mainly I appreciate Happy Starla the seller's courtesy and helpfulness.<br />It might not have fit!<br />The Post Office delayed the shipping so long I wondered what was wrong.<br />It would be nice to have some kind of padding or filler. But it does the job."
negative,"Doesn't fit my John Deere 112L, so I made an adapter.  Just slightly too firm and thick."
positive,"Good price, and I prefer satin finish over the glaring shine.. reminds me of 303 aero without the higher cost. Will buy again"
positive,"Easy to install, helps to have two peopleThey look great on the truck. They have been on for several months very sturdy and they do not get slippery when it rains."
positive,"Can’t really argue for the price, but I wish it was a better fit."
positive,"I bought these several weeks ago.  Filled tires to desired PSI. Have checked tires,  and these appear to be accurate. It's a less expensive method to keep an eye on PSI on my fifthwheel.  I will update in a few months. The pruduct was well packaged, was on time, and appear to be well made!"
positive,"Great location to hold the electric gate pass. Solved the problem to easily access the entrance gate pass. Or other small items, such as keys for another vehicle or lock. Fit was good, quality is good, easily installed."
positive,"This starter fit perfect on my 2007 Honda odyssey touring.<br /><br />It came fast and looked even better then the oem.<br /><br />I cant comment on how long it has or will last as I just installed it today, but it worked perfect with no problems.<br /><br />There was no forcing or tinkering to get it to fit like some aftermarket parts... This was a straight bolt on and was fully installed and finished in 2 hours.<br /><br />Update 5/2020<br />It just started to go out, so I just replaced it. Literally lasted 6 years and nearly 100k miles this really is a great after market starter definitely recommend!"
positive,"It's a smidge long for my 4-Runner, but it is a great shade.  Not flimsy at all, very sturdy and easy to put in place (no tucking behind visors and just praying it stays in place).  No sagging in the middle.  Seems to hold up very well, definitely recommend!"
positive,"I bought 2 of these fans because my AC in my SUV unexpectedly quit during one of the hottest weeks of the year so far. It was going to take a while for my mechanic to obtain parts and do the repair on my SUV. I was ecstatic to find this fan here with the oscillating feature, at an awesome price. My prime benefits made this deal even better. Yes, its just a bit noisy, but not a rattling type noise, and not anything that I would find super annoying. I'd take a little noise (that can easily be muffled by the sounds of loud teenagers or the radio) over being miserable in the sweltering heat anytime. I had things to do and places to go and this fan was very effective in keeping us cool and circulating the air. I would highly recommend this."
positive,"Great set of brakes ...and new parts, not refurbed.  I installed easily and brakes are now just like when she was a new Jeep.  Good price and fast delivery makes it easy to highly recommend this seller also."
positive,These are great. The installation was super easy and they look good. Not so bulky/ugly looking as many I have seen. I put these on the front and back of my GMC dually and installed in minutes with very few tools. Made in the USA is a big plus!
positive,"This sun visor works perfect on my car, the lights function and it installed great, but the clips that came with it are crap, use the original clips if you can!"
positive,We use these all the time in our RV and they work great. We love the scent.<br />Beware: they will explode in very hot weather. We had these in our RV this summer and they exploded. I guess it got too hot inside the RV.
positive,does it job and stops the car when you want it....<br />Fit perfectly
positive,It works.  I ordered a 2nd one for my husband’s bike.  I ride through some city roads to get to the bike path and no phones have bounced out yet🤓.  Neither of us have bothered with the lock feature 😎😎😎
negative,"I made my whole car to be covered in purple which all worked out great except for these. Sadly the gems were already missing when they arrived in the mail! They also did not fit in my truck, but they did fit in my car. No idea why they didn’t fit both."
positive,"I have tested over a week, keeping even ice cream frozen in Texas weather, mind you not in Texas summer yet, but a few 80 degree days. I did have something set wrong and it drained the car battery after 4 days, so that is on me.  There is battery protection built in, I just didn't have it set.  I was kind of curious to see how long it would take. Very nice clamps to keep the lids closed, travels well staying in place, great additional seating or table when the vehicle is stopped. Single compartment can be used when grocery items are low. I am very happy with this purchase."
negative,"This product is okay, but too small in my opinion.  It is great for a &#34;grip&#34; on the pad which keeps you from getting cramps in your fingers, but would be much better if the base was larger to improve pad contact on the car/truck surface."
positive,Nicely constructed and makes for an easy disconnect in my battery charging circuit.
positive,These wipers were of great quality and installation was quick and easy
positive,Easy to install good directions and super white and bright. Turns the night into day.
positive,This stuff is double the weight of the red 150 version. It’s a little thicker but way better. I’m bummed it’s no longer available.
positive,"As much as my OCD screamed at me for putting bright blue clay on my white car, it was oddly therapeutic to rub it all over sections of my car!<br />I was amazed at how much cleaner my car looked, & how grubby my little blob of clay had become!"
positive,I put this on my Lexus Is350 and it blends in well with the factory trim like it came with it.
positive,"Purchased this to change the front differential/MT oil on my 2018 Subaru WRX. At first it wouldn’t fit down the dipstick hole, so I cut the lip off & it fit down perfectly."
positive,"I bought all three components of the system.<br />Only complaint is there seems to be no real personal contact for questions on what to buy.<br />But other than that, I am very, very happy I chose the Warn Provantage System. High quality and fit together without modifications,"
negative,"Material is cheap and thin. Screen printed photo is extremely pixelated. Looks good from a few feet away, but sad looking up close. I don’t think this thing would last more than a year with any amount of sunlight. Saving grace was that it’s a snap to install."
positive,"This fit my '10 Escape perfectly. Simply remove the old one, and replace it with the new. However . . ..<br /> As noted, use of extreme care is strongly advised  when dealing with the gasket.<br />This can't be stressed enough!<br /> Use some bulb grease or dielectric grease on the plug. Sparingly! This will guard against water intrusion, and make disassembly easier if ever needed.<br /> I used a small zip tie as a hose clamp for the washer nozzle. Probably not needed, but it cost nothing for the insurance. Some have noted that the spray pattern of the new nozzle differs from stock, and it does, but it is usable in my book.<br /> I did not receive replacement mounting hardware. Rather than reuse the old, corroded screws, I had some stainless pan-head screws with a similar thread and a Torx head that I used. I slipped a washer of the appropriate size on them to give a better bearing surface.<br />Took me about 20 minutes to make the change, and worth it! The light isn't much brighter, but is more focused towards the rear. It also illuminates NOW when the brake pedal is depressed. A few milliseconds of safety might be vital!"
